country	estimate
Gambia	28.4003717948718
Sierra Leone	30.8832051282051
Guinea	31.5569871794872
Guinea-Bissau	31.7370384615385
Angola	32.1266538461539
Mali	33.0512307692308
Mozambique	34.2061538461539
Equatorial Guinea	34.4303076923077
Somalia	34.6753974358974
Burkina Faso	34.6846923076923
Niger	35.1506666666667
Eritrea	35.6952692307692
Ethiopia	36.0281538461539
Djibouti	36.2771538461539
Madagascar	36.6680641025641
Senegal	36.7466666666667
Malawi	36.9103717948718
Nigeria	37.8595256410256
Sudan	37.8741923076923
Central African Republic	38.8095128205128
Gabon	38.9353461538461
Benin	39.5885128205128
Chad	39.8093717948718
Liberia	39.8364230769231
Comoros	39.996
Mauritania	40.0256025641026
Burundi	40.578641025641
Egypt	40.968
Togo	40.9774615384615
Cameroon	41.2494615384616
Congo, Dem. Rep.	41.9610769230769
Libya	42.1019358974359
Morocco	42.6908333333334
Rwanda	42.7419487179487
Tanzania	43.1084102564103
Algeria	43.3749743589744
Ghana	43.4927435897436
Uganda	44.275217948718
Tunisia	44.5553076923077
Cote dIvoire	44.845858974359
Swaziland	46.387858974359
Kenya	47.0020384615385
Namibia	47.1343333333333
Congo, Rep.	47.1367820512821
Lesotho	47.3790256410257
Zambia	47.6580256410256
Sao Tome and Principe	48.5275641025641
South Africa	49.3412820512821
Botswana	52.9291153846154
Reunion	53.9975384615385
Zimbabwe	55.2212435897436
Mauritius	55.3707692307692
