country	estimate
Afghanistan	29.9072948717949
Yemen, Rep.	30.1302820512821
Nepal	34.431641025641
Bangladesh	36.1354871794872
Indonesia	36.8831153846154
Cambodia	37.0154230769231
Oman	37.2077435897436
Vietnam	39.0100769230769
India	39.2697564102564
Saudi Arabia	40.8141153846154
Myanmar	41.4115512820513
Pakistan	43.7229615384616
West Bank and Gaza	43.7983974358975
Mongolia	43.8264102564103
Jordan	44.063858974359
Iran	44.9789871794872
Syria	46.1012820512821
China	47.1904815384616
Philippines	49.4043461538462
Korea, Rep.	49.7275
Iraq	50.1134615384616
Malaysia	51.505217948718
Thailand	52.6564230769231
Bahrain	52.7492051282051
Korea, Dem. Rep.	54.9056025641026
Kuwait	57.4593333333333
Lebanon	58.687358974359
Sri Lanka	59.7914871794872
Taiwan	61.3374358974359
Singapore	61.8458846153846
Hong Kong, China	63.428641025641
Japan	65.1220512820513
Israel	66.3004102564103
