country	estimate
Turkey	46.0223205128205
Bosnia and Herzegovina	58.0895641025641
Albania	59.2291282051282
Portugal	61.1467948717949
Serbia	61.5343461538462
Montenegro	62.2416282051282
Croatia	63.8557820512821
Romania	63.9621282051282
Poland	64.7808974358975
Bulgaria	65.7373076923078
Hungary	65.9928205128205
Slovenia	66.0863461538462
Austria	66.4484615384616
Finland	66.4489743589744
Spain	66.4778205128206
Italy	66.5967948717949
Slovak Republic	67.0098717948718
Greece	67.0672051282051
Czech Republic	67.528076923077
Ireland	67.5414615384615
Germany	67.5681282051282
France	67.7901282051282
Belgium	67.8919230769231
United Kingdom	68.8085256410257
Switzerland	69.453717948718
Denmark	71.0335897435898
Sweden	71.605
Netherlands	71.8896153846154
Iceland	71.9635897435898
Norway	72.2146153846154
